510. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.7
516. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.7
522. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.7
528. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.7
534. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.7
540. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.7
546. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.8
552. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.8
558. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.8
564. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.8
570. ExpT: 0, ExpHumid: 0, Temp: 28.7, Humid: 46.8
576. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.8
582. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.8
588. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.8
594. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
600. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
606. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
612. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
618. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
624. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
630. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
636. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 46.9
642. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 47
648. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 47
654. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47
660. Range value: 115, Days after 01.01.2015: 3479, Minutes: 1200
666. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 47
672. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 47.1
678. ExpT: 0, ExpHumid: 0, Temp: 28.6, Humid: 47
684. Startup range Range value: 65535, Days after 01.01.2015: 65519, Minutes: 470
690. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
696. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47
702. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
708. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
714. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
720. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
726. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
732. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
738. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
744. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
750. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.1
756. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
762. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
768. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
774. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
780. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
786. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
792. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
798. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
804. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
810. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.3
816. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
822. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
828. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.3
834. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.2
840. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.3
846. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.2
852. ExpT: 0, ExpHumid: 0, Temp: 28.5, Humid: 47.3
858. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
864. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
870. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
876. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
882. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
888. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
894. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
900. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
906. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
912. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.3
918. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
924. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
930. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
936. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
942. Startup range Range value: 65504, Days after 01.01.2015: 142, Minutes: 474
948. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
954. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
960. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
966. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
972. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
978. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
984. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
990. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
996. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1002. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
1008. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
1014. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1020. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1026. Range value: 115, Days after 01.01.2015: 3479, Minutes: 1260
1032. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1038. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1044. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1050. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1056. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.4
1062. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1068. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.5
1074. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1080. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1086. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1092. ExpT: 0, ExpHumid: 0, Temp: 28.4, Humid: 47.5
1098. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.5
1104. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.5
1110. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1116. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1122. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.5
1128. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1134. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1140. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1146. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1152. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1158. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1164. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1170. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1176. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1182. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1188. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1194. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1200. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1206. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1212. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1218. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1224. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.6
1230. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1236. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1242. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1248. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1254. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1260. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.7
1266. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1272. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1278. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1284. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.7
1290. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1296. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1302. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1308. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1314. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1320. ExpT: 0, ExpHumid: 0, Temp: 28.3, Humid: 47.7
1326. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.7
1332. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.7
1338. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.7
1344. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.7
1350. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1356. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.7
1362. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1368. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1374. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1380. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1386. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1392. Range value: 115, Days after 01.01.2015: 3479, Minutes: 1320
1398. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1404. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1410. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1416. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1422. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.8
1428. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1434. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1440. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1446. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1452. Startup range Range value: 65535, Days after 01.01.2015: 65517, Minutes: 478
1458. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1464. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1470. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1476. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1482. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1488. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1494. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1500. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1506. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1512. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 47.9
1518. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1524. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1530. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1536. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1542. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1548. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1554. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1560. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1566. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1572. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1578. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1584. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48
1590. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48
1596. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1602. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1608. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1614. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1620. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1626. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1632. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.1
1638. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1644. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1650. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.1
1656. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.1
1662. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.1
1668. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1674. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1680. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1686. ExpT: 0, ExpHumid: 0, Temp: 28.2, Humid: 48.1
1692. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1698. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1704. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.1
1710. Startup range Range value: 65504, Days after 01.01.2015: 140, Minutes: 1506
1716. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1722. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1728. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1734. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1740. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1746. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1752. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1758. Range value: 115, Days after 01.01.2015: 3479, Minutes: 1380
1764. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1770. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1776. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1782. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1788. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1794. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1800. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.2
1806. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1812. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1818. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1824. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1830. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1836. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1842. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1848. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1854. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1860. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1866. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1872. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1878. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1884. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1890. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1896. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1902. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
